époque,X,Y,Z,delta_horloge_user,delta_pseudorange,,
21:12:14:4:30:30.0000000,4336886.831,581136.2989,4629782.499,316.7847954,33439.04672,,1.05595E-07
21:12:14:4:31:0.0000000,4336601.916,581193.4447,4629504.053,76.91454698,33659.87998,,2.56382E-08
21:12:14:4:31:30.0000000,4336316.392,581249.8593,4629223.35,-164.7922247,33887.53146,,-5.49307E-08
21:12:14:4:32:0.0000000,4336029.507,581305.6882,4628943.26,-406.6297802,34121.10639,,-1.35543E-07
21:12:14:4:32:30.0000000,4335742.114,581360.7011,4628661.999,-649.5351968,34362.36397,,-2.16512E-07
21:12:14:4:33:0.0000000,4335454.579,581415.6219,4628380.228,-892.7462544,34608.19727,,-2.97582E-07
21:12:14:4:33:30.0000000,4335166.744,581469.4208,4628100.096,-1135.182995,34860.85126,,-3.78394E-07
21:12:14:4:34:0.0000000,4334878.548,581522.1352,4627818.96,-1378.772765,35119.81853,,-4.59591E-07
21:12:14:4:34:30.0000000,4334590.795,581574.9651,4627537.539,-1622.205772,35383.70939,,-5.40735E-07
21:12:14:4:35:0.0000000,4334302.742,581626.6016,4627257.137,-1865.246565,35654.49589,,-6.21749E-07
21:12:14:4:35:30.0000000,4334014.137,581677.5411,4626976.001,-2109.215414,35930.05557,,-7.03072E-07
21:12:14:4:36:0.0000000,4333725.977,581728.0243,4626695.596,-2352.749118,36211.47058,,-7.8425E-07
21:12:14:4:36:30.0000000,4333438.044,581777.9817,4626416.009,-2595.743055,36497.82211,,-8.65248E-07
21:12:14:4:37:0.0000000,4333151.797,581827.095,4626136.181,-2838.425304,36790.36617,,-9.46142E-07
21:12:14:4:37:30.0000000,4332864.874,581874.8818,4625857.252,-3081.043186,37088.38662,,-1.02701E-06
21:12:14:4:38:0.0000000,4332579.672,581923.3062,4625579.124,-3322.716842,37391.04027,,-1.10757E-06
21:12:14:4:38:30.0000000,4332295.219,581970.1563,4625302.028,-3563.63745,37698.74747,,-1.18788E-06
21:12:14:4:39:0.0000000,4332010.996,582016.5367,4625025.407,-3804.569464,38011.95413,,-1.26819E-06
21:12:14:4:39:30.0000000,4331728.39,582062.0652,4624749.453,-4044.320223,38330.4655,,-1.34811E-06
21:12:14:4:40:0.0000000,4331447.952,582106.9586,4624475.496,-4282.230539,38653.79983,,-1.42741E-06
21:12:14:4:40:30.0000000,4331167.848,582150.9213,4624202.2,-4519.941239,38982.51194,,-1.50665E-06
21:12:14:4:41:0.0000000,4330889.207,582194.791,4623929.617,-4756.973655,39315.88675,,-1.58566E-06
21:12:14:4:41:30.0000000,4330612.181,582237.1719,4623657.851,-4992.816526,39653.1373,,-1.66427E-06
21:12:14:4:42:0.0000000,4330336.763,582279.2884,4623388.966,-5226.957268,39995.35437,,-1.74232E-06
21:12:14:4:42:30.0000000,4330064.107,582320.9095,4623120.604,-5459.585757,40342.45591,,-1.81986E-06
21:12:14:4:43:0.0000000,4329792.154,582361.7803,4622853.527,-5691.418069,40694.41427,,-1.89714E-06
21:12:14:4:43:30.0000000,4329523.259,582401.2956,4622588.526,-5921.115335,41050.71896,,-1.97371E-06
21:12:14:4:44:0.0000000,4329255.537,582440.764,4622322.883,-6150.955878,41411.95557,,-2.05032E-06
21:12:14:4:44:30.0000000,4328990.673,582479.3863,4622062.193,-6377.070627,41777.0579,,-2.12569E-06
21:12:14:4:45:0.0000000,4328728.138,582517.0634,4621801.353,-6602.408383,42146.95918,,-2.2008E-06
21:12:14:4:45:30.0000000,4328467.197,582554.5029,4621541.657,-6826.893707,42520.53838,,-2.27563E-06
21:12:14:4:46:0.0000000,4328209.487,582590.0438,4621286.413,-7047.639424,42899.62586,,-2.34921E-06
21:12:14:4:46:30.0000000,4327954.296,582626.0168,4621032.046,-7266.983806,43281.79689,,-2.42233E-06
21:12:14:4:47:0.0000000,4327702.033,582660.5903,4620779.632,-7484.396348,43668.78967,,-2.4948E-06
21:12:14:4:47:30.0000000,4327452,582694.3207,4620528.082,-7700.852695,44060.59258,,-2.56695E-06
21:12:14:4:48:0.0000000,4329906.149,586889.1345,4624310.668,-3867.425785,43297.75691,,-1.28914E-06
21:12:14:4:48:30.0000000,4329603.806,586826.8062,4623979.529,-4164.157357,43762.55402,,-1.38805E-06
21:12:14:4:49:0.0000000,4329302.526,586761.2751,4623645.409,-4462.943817,44229.88099,,-1.48765E-06
21:12:14:4:49:30.0000000,4329003.565,586694.4693,4623311.558,-4761.081766,44698.86227,,-1.58703E-06
21:12:14:4:50:0.0000000,4328706.882,586625.3135,4622980.218,-5057.346922,45169.97881,,-1.68578E-06
21:12:14:4:50:30.0000000,4328411.822,586554.0181,4622648.553,-5353.736413,45643.15393,,-1.78458E-06
21:12:14:4:51:0.0000000,4328118.753,586479.5908,4622315.07,-5650.798799,46118.43948,,-1.8836E-06
21:12:14:4:51:30.0000000,4328223.012,586805.89,4624193.635,-4427.35875,46536.49925,,-1.47579E-06
21:12:14:4:52:0.0000000,4327897.091,586686.4244,4623625.219,-4884.648026,47028.65623,,-1.62822E-06
21:12:14:4:52:30.0000000,4327569.033,586562.4793,4623044.367,-5350.754481,47520.36895,,-1.78358E-06
21:12:14:4:53:0.0000000,4327241.344,586433.7105,4622451.831,-5823.853938,48012.77757,,-1.94128E-06
21:12:14:4:53:30.0000000,4326911.777,586300.3682,4621847.481,-6305.144364,48504.90546,,-2.10171E-06
21:12:14:4:54:0.0000000,4326580.482,586161.7898,4621230.227,-6795.539313,48997.17157,,-2.26518E-06
21:12:14:4:54:30.0000000,4326248.517,586019.2,4620600.072,-7293.933068,49488.44774,,-2.43131E-06
21:12:14:4:55:0.0000000,4325915.398,585870.9995,4619957.371,-7800.822467,49980.07775,,-2.60027E-06
21:12:14:4:55:30.0000000,4325581.595,585718.2326,4619302.264,-8315.528424,50470.53814,,-2.77184E-06
21:12:14:4:56:0.0000000,4325246.168,585560.9033,4618634.167,-8838.95186,50959.82543,,-2.94632E-06
21:12:14:4:56:30.0000000,4324910.348,585398.5509,4617953.745,-9370.232166,51449.20077,,-3.12341E-06
21:12:14:4:57:0.0000000,4324572.592,585231.5966,4617260.69,-9910.056347,51937.66899,,-3.30335E-06
21:12:14:4:57:30.0000000,4324234.855,585059.6012,4616554.04,-10458.17459,52424.81779,,-3.48606E-06
21:12:14:4:58:0.0000000,4323895.996,584882.8448,4615833.862,-11014.94759,52909.46592,,-3.67165E-06
21:12:14:4:58:30.0000000,4323554.954,584701.7489,4615101.27,-11580.29377,53394.27979,,-3.8601E-06
21:12:14:4:59:0.0000000,4323214.592,584515.4707,4614355.733,-12153.249,53876.80782,,-4.05108E-06
21:12:14:4:59:30.0000000,4322873.884,584324.7275,4613597.975,-12733.29686,54357.54433,,-4.24443E-06
21:12:14:5:0:0.0000000,4322531.431,584128.705,4612825.924,-13323.50389,54836.8358,,-4.44117E-06
21:12:14:5:0:30.0000000,4322188.17,583928.931,4612041.727,-13920.7699,55314.72074,,-4.64026E-06
21:12:14:5:1:0.0000000,4321844.679,583723.835,4611244.133,-14526.03927,55789.88119,,-4.84201E-06
21:12:14:5:1:30.0000000,4321502.011,583513.8804,4610434.685,-15138.09697,56263.67169,,-5.04603E-06
21:12:14:5:2:0.0000000,4324545.33,588164.5085,4625193.595,-4694.522608,58486.15225,,-1.56484E-06
21:12:14:5:2:30.0000000,4320813.727,583081.829,4608776.878,-16386.26892,57203.06497,,-5.46209E-06
21:12:14:5:3:0.0000000,4324086.386,588058.6938,4624626.408,-5176.624517,59612.62317,,-1.72554E-06
21:12:14:5:3:30.0000000,4320123.74,582632.046,4607069.411,-17664.56367,58133.14605,,-5.88819E-06
21:12:14:5:4:0.0000000,4323631.97,587944.1237,4624041.809,-5666.549724,60739.50241,,-1.88885E-06
21:12:14:5:4:30.0000000,4323406.278,587883.8324,4623744.753,-5913.623397,61304.27507,,-1.97121E-06
21:12:14:5:5:0.0000000,4319090.629,581924.8623,4604417.392,-19633.22915,59507.89358,,-6.54441E-06
21:12:14:5:5:30.0000000,4322956.88,587756.9841,4623134.623,-6416.243298,62433.10356,,-2.13875E-06
21:12:14:5:6:0.0000000,4322733.141,587690.1284,4622822.991,-6670.845973,62998.21638,,-2.22362E-06
21:12:14:5:6:30.0000000,4322511.361,587620.4254,4622504.902,-6928.1051,63562.23343,,-2.30937E-06
21:12:14:5:7:0.0000000,4322290.746,587549.9444,4622185.584,-7185.317687,64126.86241,,-2.39511E-06
21:12:14:5:7:30.0000000,4322070.5,587477.7189,4621861.134,-7445.327458,64691.36174,,-2.48178E-06
21:12:14:5:8:0.0000000,4321851.752,587402.4289,4621531.206,-7707.773456,65254.96076,,-2.56926E-06
21:12:14:5:8:30.0000000,4321634.192,587325.1334,4621196.497,-7972.080541,65817.81821,,-2.65736E-06
21:12:14:5:9:0.0000000,4321416.366,587246.1816,4620856.235,-8239.787196,66380.87672,,-2.7466E-06
21:12:14:5:9:30.0000000,4321199.853,587164.9556,4620511.746,-8508.852001,66943.34361,,-2.83628E-06
21:12:14:5:10:0.0000000,4313134.667,580644.9379,4616441.455,-15770.41753,70113.89751,,-5.25681E-06
21:12:14:5:10:30.0000000,4313001.486,580601.7284,4616135.926,-15981.75701,70612.42363,,-5.32725E-06
21:12:14:5:11:0.0000000,4312869.164,580556.7725,4615824.59,-16195.29141,71111.42542,,-5.39843E-06
21:12:14:5:11:30.0000000,4312737.85,580509.9299,4615510.388,-16409.7054,71611.95625,,-5.4699E-06
21:12:14:5:12:0.0000000,4312607.111,580460.353,4615190.062,-16627.10314,72112.19598,,-5.54237E-06
21:12:14:5:12:30.0000000,4312477.259,580409.0538,4614865.796,-16845.85447,72613.68457,,-5.61528E-06
21:12:14:5:13:0.0000000,4312348.195,580355.9554,4614536.355,-17066.5513,73114.66739,,-5.68885E-06
21:12:14:5:13:30.0000000,4312219.998,580300.7457,4614201.048,-17289.77354,73615.67057,,-5.76326E-06
21:12:14:5:14:0.0000000,4312092.139,580243.4838,4613861.406,-17514.86555,74117.01656,,-5.83829E-06
21:12:14:5:14:30.0000000,4311964.696,580184.679,4613516.032,-17742.50543,74618.29934,,-5.91417E-06
21:12:14:5:15:0.0000000,4311837.737,580123.321,4613165.271,-17972.3538,75119.0597,,-5.99078E-06
21:12:14:5:15:30.0000000,4311712.175,580060.0664,4612810.407,-18203.43249,75620.08045,,-6.06781E-06
21:12:14:5:16:0.0000000,4311586.923,579994.6004,4612449.215,-18437.25149,76120.89449,,-6.14575E-06
21:12:14:5:16:30.0000000,4316527.58,578298.5666,4613848.542,-15101.39717,76229.24341,,-5.0338E-06
21:12:14:5:17:0.0000000,4316344.419,578266.4174,4613486.374,-15369.3657,76743.08921,,-5.12312E-06
21:12:14:5:17:30.0000000,4316159.819,578232.5878,4613118.21,-15640.85671,77256.89196,,-5.21362E-06
21:12:14:5:18:0.0000000,4315973.214,578196.3911,4612742.91,-15916.73963,77769.8143,,-5.30558E-06
21:12:14:5:18:30.0000000,4315786.357,578158.4974,4612361.244,-16195.57055,78281.56365,,-5.39852E-06
21:12:14:5:19:0.0000000,4315597.304,578118.5647,4611972.814,-16478.52302,78792.23774,,-5.49284E-06
21:12:14:5:19:30.0000000,4315407.241,578076.8248,4611576.241,-16765.50898,79300.68035,,-5.5885E-06
21:12:14:5:20:0.0000000,4315215.364,578032.9604,4611172.563,-17056.78619,79808.71213,,-5.6856E-06
21:12:14:5:20:30.0000000,4315021.989,577987.4802,4610761.707,-17352.03368,80314.72588,,-5.78401E-06
21:12:14:5:21:0.0000000,4314827.299,577939.3781,4610343.771,-17651.0108,80819.50436,,-5.88367E-06
21:12:14:5:21:30.0000000,4314630.091,577889.8106,4609918.153,-17954.44318,81323.44661,,-5.98481E-06
21:12:14:5:22:0.0000000,4314431.394,577838.0373,4609484.685,-18262.36475,81824.58431,,-6.08745E-06
21:12:14:5:22:30.0000000,4314230.507,577784.1941,4609043.967,-18574.32826,82323.92372,,-6.19144E-06
21:12:14:5:23:0.0000000,4314027.629,577728.3072,4608594.867,-18890.92708,82821.82137,,-6.29698E-06
21:12:14:5:23:30.0000000,4313821.999,577670.9283,4608138.113,-19212.47469,83317.31421,,-6.40416E-06
21:12:14:5:24:0.0000000,4313615.448,577610.7363,4607673.472,-19537.60027,83811.12943,,-6.51253E-06
21:12:14:5:24:30.0000000,4313405.861,577548.8911,4607201.815,-19867.26656,84302.84333,,-6.62242E-06
21:12:14:5:25:0.0000000,4313193.33,577484.4875,4606721.076,-20202.46981,84792.55878,,-6.73416E-06
21:12:14:5:25:30.0000000,4312979.643,577418.0078,4606232.574,-20541.40223,85279.42351,,-6.84713E-06
21:12:14:5:26:0.0000000,4312762.044,577350.0063,4605734.922,-20886.19937,85763.74263,,-6.96207E-06
21:12:14:5:26:30.0000000,4312542.363,577279.4723,4605229.953,-21235.43008,86246.06399,,-7.07848E-06
21:12:14:5:27:0.0000000,4312320.143,577206.9936,4604715.668,-21589.49049,86724.92957,,-7.1965E-06
21:12:14:5:27:30.0000000,4312094.49,577132.0141,4604193.471,-21948.85614,87201.60532,,-7.31629E-06
21:12:14:5:28:0.0000000,4311866.393,577055.1164,4603662.867,-22312.78368,87675.17253,,-7.43759E-06
21:12:14:5:28:30.0000000,4311636.24,576976.0549,4603123.989,-22681.15649,88146.08365,,-7.56039E-06
21:12:14:5:29:0.0000000,4311401.58,576894.6963,4602576.7,-23055.23942,88614.07871,,-7.68508E-06
21:12:14:5:29:30.0000000,4311164.268,576810.4832,4602020.164,-23434.68559,89078.46309,,-7.81156E-06
21:12:14:5:30:0.0000000,4310924.106,576725.118,4601455.505,-23818.69801,89539.44958,,-7.93957E-06
21:12:14:5:30:30.0000000,4310680.638,576636.8565,4600881.246,-24208.41199,89998.22246,,-8.06947E-06
21:12:14:5:31:0.0000000,4310433.252,576546.3393,4600299.1,-24603.33222,90452.40937,,-8.20111E-06
21:12:14:5:31:30.0000000,4310184.124,576453.5355,4599709.029,-25002.07973,90903.63469,,-8.33403E-06
21:12:14:5:32:0.0000000,4309930.175,576358.1169,4599109.233,-25407.49364,91352.21079,,-8.46916E-06
21:12:14:5:32:30.0000000,4309673.714,576260.8318,4598502.425,-25816.62965,91796.67889,,-8.60554E-06
21:12:14:5:33:0.0000000,4309413.839,576160.9373,4597885.843,-26231.49411,92237.18968,,-8.74383E-06
21:12:14:5:33:30.0000000,4309150.301,576058.7931,4597260.505,-26651.82117,92674.07183,,-8.88394E-06
21:12:14:5:34:0.0000000,4308883.47,575953.509,4596627.229,-27076.69798,93106.51435,,-9.02557E-06
21:12:14:5:34:30.0000000,4308612.734,575846.1335,4595985.318,-27507.39543,93535.86015,,-9.16913E-06
21:12:14:5:35:0.0000000,4308339.666,575736.6181,4595336.388,-27941.21219,93961.05327,,-9.31374E-06
21:12:14:5:35:30.0000000,4308062.424,575624.0993,4594678.293,-28381.06931,94382.66175,,-9.46036E-06
21:12:14:5:36:0.0000000,4307782.241,575509.0946,4594011.985,-28825.67506,94799.19141,,-9.60856E-06
21:12:14:5:36:30.0000000,4307498.213,575391.7453,4593338.019,-29274.83294,95212.04365,,-9.75828E-06
21:12:14:5:37:0.0000000,4307211.43,575271.7485,4592656.998,-29728.05472,95621.48799,,-9.90935E-06
21:12:14:5:37:30.0000000,4306920.624,575148.9394,4591966.923,-30186.83789,96025.20561,,-1.00623E-05
21:12:14:5:38:0.0000000,4306626.982,575024.0327,4591269.688,-30649.60842,96424.79207,,-1.02165E-05
21:12:14:5:38:30.0000000,4306329.551,574896.0435,4590564.878,-31117.11614,96820.4035,,-1.03724E-05
21:12:14:5:39:0.0000000,4306029.352,574765.5817,4589853.259,-31588.40576,97211.33294,,-1.05295E-05
21:12:14:5:39:30.0000000,4305725.476,574632.8015,4589134.552,-32064.07013,97597.57084,,-1.0688E-05
21:12:14:5:40:0.0000000,4305419.351,574496.9266,4588409.436,-32543.09442,97979.81685,,-1.08477E-05
21:12:14:5:40:30.0000000,4305110.413,574358.4094,4587678.29,-33025.50151,98357.0732,,-1.10085E-05
21:12:14:5:41:0.0000000,4304797.577,574217.0613,4586939.673,-33512.69904,98729.54948,,-1.11709E-05
21:12:14:5:41:30.0000000,4304483.345,574073.4123,4586196.567,-34001.59303,99097.56262,,-1.13339E-05
21:12:14:5:42:0.0000000,4304165.55,573926.9289,4585446.264,-34494.98083,99460.68146,,-1.14983E-05
21:12:14:5:42:30.0000000,4303845.741,573777.5381,4584691.155,-34990.87102,99819.29204,,-1.16636E-05
21:12:14:5:43:0.0000000,4303523.877,573625.8164,4583931.032,-35489.08789,100173.5692,,-1.18297E-05
21:12:14:5:43:30.0000000,4303200.371,573471.0698,4583166.768,-35989.29549,100522.4834,,-1.19964E-05
21:12:14:5:44:0.0000000,4302873.912,573313.9652,4582398.463,-36491.99339,100866.3504,,-1.2164E-05
21:12:14:5:44:30.0000000,4302544.84,573153.9479,4581624.268,-36997.85279,101205.5135,,-1.23326E-05
21:12:14:5:45:0.0000000,4302215.936,572990.9455,4580848.544,-37503.60603,101540.1746,,-1.25012E-05
21:12:14:5:45:30.0000000,4301885.198,572825.9208,4580068.593,-38011.39184,101870.0038,,-1.26705E-05
21:12:14:5:46:0.0000000,4301552.787,572658.2854,4579285.969,-38520.3611,102194.8404,,-1.28401E-05
21:12:14:5:46:30.0000000,4301218.706,572487.2088,4578500.5,-39030.72115,102515.2555,,-1.30102E-05
21:12:14:5:47:0.0000000,4300885.858,572314.06,4577714.042,-39539.85177,102830.5078,,-1.318E-05
21:12:14:5:47:30.0000000,4300550.911,572138.347,4576925.767,-40050.15205,103141.4185,,-1.33501E-05
21:12:14:5:48:0.0000000,4300216.937,571960.2644,4576136.891,-40559.17238,103447.4929,,-1.35197E-05
21:12:14:5:48:30.0000000,4299883.081,571779.6082,4575347.849,-41067.42236,103747.9302,,-1.36891E-05
21:12:14:5:49:0.0000000,4299548.398,571596.3313,4574558.378,-41575.72082,104044.9932,,-1.38586E-05
21:12:14:5:49:30.0000000,4299215.442,571411.2642,4573768.799,-42081.84993,104337.5823,,-1.40273E-05
21:12:14:5:50:0.0000000,4298882.665,571223.2012,4572981.086,-42586.42744,104624.1021,,-1.41955E-05
21:12:14:5:50:30.0000000,4298551.6,571033.6203,4572195.726,-43088.26307,104907.3749,,-1.43628E-05
21:12:14:5:51:0.0000000,4298221.783,570841.0002,4571411.239,-43588.28971,105185.5491,,-1.45294E-05
21:12:14:5:51:30.0000000,4297893.268,570646.5362,4570630.191,-44085.18846,105459.8027,,-1.46951E-05
21:12:14:5:52:0.0000000,4297568.549,570450.4022,4569853.221,-44577.29212,105728.7689,,-1.48591E-05
21:12:14:5:52:30.0000000,4297246.054,570251.8676,4569079.604,-45066.09509,105993.6597,,-1.5022E-05
21:12:14:5:53:0.0000000,4296925.846,570051.584,4568310.325,-45550.76002,106254.8096,,-1.51836E-05
21:12:14:5:53:30.0000000,4296608.519,569849.6941,4567546.031,-46030.92685,106512.5445,,-1.53436E-05
21:12:14:5:54:0.0000000,4296295.634,569645.8027,4566787.834,-46505.18935,106764.6605,,-1.55017E-05
21:12:14:5:54:30.0000000,4295986.089,569440.4564,4566035.803,-46974.18022,107013.6022,,-1.56581E-05
21:12:14:5:55:0.0000000,4295680.946,569233.0916,4565290.278,-47437.24879,107258.5426,,-1.58124E-05
21:12:14:5:55:30.0000000,4295380.921,569024.9573,4564552.529,-47893.29675,107499.9394,,-1.59644E-05
21:12:14:5:56:0.0000000,4295085.827,568815.3458,4563822.754,-48342.47676,107737.7371,,-1.61142E-05
21:12:14:5:56:30.0000000,4294796.607,568604.7982,4563102.18,-48783.82943,107971.5888,,-1.62613E-05
21:12:14:5:57:0.0000000,4294512.401,568392.7767,4562390.46,-49217.71813,108201.9,,-1.64059E-05
21:12:14:5:57:30.0000000,4294234.884,568180.2151,4561688.288,-49643.15547,108428.8741,,-1.65477E-05
21:12:14:5:58:0.0000000,4293964.176,567966.832,4560996.88,-50059.42102,108652.5185,,-1.66865E-05
21:12:14:5:58:30.0000000,4293699.821,567752.7286,4560316.342,-50466.991,108873.1221,,-1.68223E-05
21:12:14:5:59:0.0000000,4293442.593,567538.1892,4559646.919,-50865.27268,109091.1876,,-1.69551E-05
21:12:14:5:59:30.0000000,4293194.173,567323.1764,4558990.228,-51252.41957,109306.0811,,-1.70841E-05
21:12:14:6:0:0.0000000,4292953.011,567107.7926,4558345.889,-51629.57027,109518.0167,,-1.72099E-05
